c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
A55,21,1,1,1,179,158,1,1,0,7,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,5,1,0,3,0,0,1,8,1,1,1,0,1,2,0,1,0,3,0,0,1
A56,23,1,0,1,172,96,1,1,0,9,1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,3,1,0,1,6,1,1,1,1,1,3,0,1,0,2,1,0,1
A57,23,1,0,1,168,59,1,1,0,8,1,1,0,1,2,99,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6,0,1,2,0,1,0,6,0,0,1,1,0,1,1,1,1,1,0,1,1
A58,23,1,1,0,194,136,1,1,0,8,1,0,0,0,1,99,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,3,0,1,0,2,0,0,0,1,0,1,0,0,0,2,1,1,1
A59,23,0,1,0,153,51,1,1,2,8,1,1,1,1,2,99,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,7,1,0,3,1,0,1,8,1,1,0,0,0,1,1,1,0,2,0,0,1
A60,22,1,0,0,178,117,1,1,1,7,0,0,0,0,1,99,99,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,1,1,3,1,1,0,6,0,0,0,1,1,2,0,0,0,1,1,1,1
A61,24,1,0,0,141,80,1,1,2,8,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,5,1,0,3,0,1,0,2,0,0,0,1,1,2,0,0,1,2,0,1,1
A62,19,0,0,0,180,75,1,1,2,8,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,2,0,1,2,1,1,0,10,0,0,0,0,1,1,0,0,0,1,1,1,1
A63,24,0,0,1,185,100,1,1,1,7,0,1,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,2,0,0,3,1,1,0,10,0,0,1,1,0,1,0,1,1,3,0,1,1
A64,23,1,0,0,197,154,1,1,2,8,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,6,0,0,3,1,1,0,2,0,0,0,1,0,1,0,0,0,2,1,1,1
A65,24,0,1,1,165,104,1,1,0,8,1,0,0,0,1,1,99,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,7,0,1,3,1,1,0,3,0,0,0,0,1,1,0,0,1,1,0,0,1
A66,24,1,1,1,168,90,1,1,0,7,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,2,1,1,3,1,0,1,6,1,1,0,1,1,3,0,1,1,1,0,1,1
A67,23,0,1,1,176,122,1,1,1,8,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,1,1,3,0,1,0,10,0,0,0,0,1,1,0,1,1,2,1,0,1
A68,23,0,1,1,181,51,1,0,2,7,1,0,0,0,1,99,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,6,0,0,3,0,1,0,5,0,0,1,1,0,1,0,0,0,3,0,0,1
A69,19,1,1,1,164,75,0,0,1,8,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,5,1,1,3,1,0,1,6,1,1,0,1,1,3,1,0,0,3,0,0,1
A70,23,1,0,0,190,105,1,1,2,8,1,1,0,1,2,99,99,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,7,0,0,3,0,1,0,4,0,0,1,1,1,2,0,1,0,1,0,0,1
A71,19,1,1,1,186,118,0,0,1,9,0,0,1,0,1,99,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,4,0,1,1,1,0,1,9,1,1,1,1,0,2,0,0,0,2,0,1,1
A72,23,1,0,0,198,50,1,0,0,9,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,4,1,1,3,0,1,0,2,0,0,1,0,0,0,0,0,1,3,1,0,0
A73,21,0,0,0,175,141,1,1,1,7,0,1,0,1,2,0,99,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,4,1,1,3,1,1,0,5,0,0,1,0,1,1,0,1,0,1,1,0,1
A74,19,1,0,1,145,117,1,1,1,7,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,3,0,1,0,1,0,0,0,0,1,1,0,1,1,3,1,1,1
A75,22,0,1,0,159,104,1,1,1,8,0,1,0,1,2,99,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,2,1,1,2,0,1,0,7,0,0,1,1,1,2,1,1,1,1,0,0,1
A76,20,0,1,0,183,96,1,1,1,8,0,0,1,1,2,99,99,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2,1,1,3,1,0,1,2,1,1,0,0,1,2,0,0,1,1,1,0,1
A77,20,1,1,1,177,61,0,0,2,8,1,0,0,1,2,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,1,1,1,1,0,8,0,0,1,0,0,0,1,0,1,3,0,0,1
A78,24,0,0,0,197,119,0,0,0,7,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,1,3,0,0,1,2,1,1,0,0,0,1,0,1,0,1,1,1,1
A79,23,0,0,1,142,69,1,1,1,7,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,6,0,1,3,0,1,0,2,0,0,1,1,1,2,0,0,1,3,0,0,0
A80,21,0,1,0,160,139,0,0,0,7,1,0,1,1,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,2,0,0,3,0,0,1,9,1,1,1,1,0,2,0,0,0,3,0,0,1
A81,21,1,1,0,195,69,0,0,0,8,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,7,0,1,3,0,1,0,1,0,0,1,1,0,1,1,0,1,3,1,0,1
A82,23,0,0,1,190,50,0,0,0,8,1,0,1,0,1,1,99,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,6,0,1,3,0,0,1,9,1,1,0,1,1,3,0,0,0,3,0,0,1
A83,21,0,0,1,199,156,0,0,2,8,1,1,1,0,1,1,99,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,7,0,1,3,1,0,1,4,1,1,0,0,0,1,0,1,1,1,0,0,1
A84,22,0,0,1,154,105,1,1,2,7,1,0,1,1,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,6,1,1,3,0,0,1,7,1,1,0,0,1,2,0,0,0,1,0,1,1
A85,21,0,0,1,161,155,0,0,1,9,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,2,1,1,0,7,0,0,1,0,1,1,0,1,0,1,1,0,0
A86,22,0,1,0,198,145,1,1,1,7,0,1,0,1,2,99,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,0,1,3,0,1,0,9,0,0,1,1,1,2,0,1,0,3,0,1,0
A87,22,0,0,0,159,154,1,1,2,7,1,1,1,1,2,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,7,1,1,2,1,0,1,9,1,1,0,0,0,1,0,1,1,2,1,1,1
A88,22,0,1,0,181,106,1,1,2,7,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,8,1,1,1,0,1,2,0,0,1,1,0,0,1
A89,21,1,0,1,149,66,1,1,1,7,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,0,4,0,0,0,1,1,2,0,1,0,2,1,0,1
A90,21,1,1,0,150,70,1,1,2,8,1,1,1,0,1,99,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,5,1,1,0,0,0,1,0,1,0,2,0,0,1
A91,22,0,0,1,146,157,1,1,2,8,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,7,1,1,3,0,0,1,5,1,1,0,0,1,2,1,1,0,1,0,0,1
A92,18,0,0,0,190,135,1,1,1,8,0,1,0,1,2,99,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,3,1,1,0,7,0,0,0,0,0,0,0,1,0,2,1,0,1
A93,22,1,1,1,192,90,1,1,2,8,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,4,0,1,1,0,1,0,7,0,0,1,1,1,2,0,0,0,3,1,1,1
A94,19,1,1,0,177,96,1,1,1,5,0,1,0,1,2,1,99,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,0,0,3,1,1,0,7,0,0,0,0,0,0,0,1,0,1,1,1,1
A95,17,1,1,1,148,60,1,1,2,7,1,1,1,1,2,0,99,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,3,1,0,3,1,0,1,9,1,1,1,0,0,1,0,1,0,1,0,0,1
A96,15,0,1,0,165,57,1,1,1,7,0,1,0,0,1,1,99,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,7,1,1,1,1,1,0,6,0,0,1,0,0,0,1,1,1,2,1,0,0
A97,17,1,1,0,146,104,1,1,0,7,1,0,0,1,2,1,99,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,6,0,0,3,1,1,0,10,0,0,0,1,0,1,1,0,0,3,0,1,0
A98,23,0,0,1,144,108,1,1,1,7,0,1,1,0,1,99,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,2,0,1,3,0,0,1,9,1,1,1,0,0,1,1,1,0,3,1,1,1
A99,19,1,1,0,176,156,1,1,0,11,1,0,0,1,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,1,0,3,0,0,1,1,1,2,1,0,1,1,0,1,1
A100,23,0,1,1,168,87,1,1,2,8,1,1,0,1,2,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,5,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
A101,23,0,0,0,187,122,1,1,2,7,1,1,1,1,2,0,99,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,5,1,0,3,1,0,1,8,1,1,0,0,0,1,1,1,1,3,0,1,1
A102,21,1,0,0,187,138,1,1,1,7,0,0,0,1,2,0,99,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,2,1,0,1,1,1,0,7,0,0,1,1,0,1,0,0,1,1,0,0,1
A103,24,1,1,1,184,160,1,1,1,8,0,1,1,0,1,99,99,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,4,1,0,3,0,0,1,9,1,1,1,1,1,3,0,1,0,2,1,0,1
A104,23,0,1,0,158,149,0,0,0,8,1,1,0,0,1,99,99,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,6,0,0,3,1,1,0,6,0,0,0,0,1,1,0,1,1,3,1,1,1
A105,18,0,0,0,158,96,1,1,0,7,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,3,1,0,1,5,1,1,0,1,0,2,0,1,1,2,1,1,1
A106,19,0,1,1,194,115,0,0,0,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,4,0,0,3,0,1,0,2,0,0,0,0,1,1,0,1,0,1,0,0,1
A107,19,1,0,1,145,79,0,0,2,8,1,1,1,0,1,99,99,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,3,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
